year,confirmed,recovered,death
2020,39,3,0
2020,6,8,1
2020,20,4,0
2020,32,0,0
2020,7,4,1
2020,24,2,0
2020,21,2,0
2020,9,14,0
2020,11,8,0
2020,8,6,0
2020,13,3,0
2020,8,12,0
2020,9,13,0
2020,12,13,0
2020,7,27,0
2020,10,19,0
2020,2,36,0
2020,3,19,0
2020,8,13,0
2020,1,7,0
2020,7,27,0
2020,1,10,0
2020,4,2,0
2020,2,13,0
2020,6,21,0
2020,19,16,0
2020,11,1,0
2020,10,8,0
2020,3,15,1
2020,7,7,0
2020,11,4,0
2020,13,13,0
2020,4,4,0
2020,10,10,0
2020,2,14,0
2020,0,9,0
2020,2,8,0
2020,0,1,0
2020,0,61,0
2020,3,0,0
2020,0,7,0
2020,0,5,0
2020,1,10,0
2020,2,1,0
2020,7,4,0
2020,7,0,0
2020,5,0,0
2020,10,1,0
2020,26,3,0
2020,16,0,0
2020,11,4,0
2020,14,0,0
2020,29,0,0
2020,12,0,0
2020,24,5,0
2020,24,8,0
2020,42,2,1
2020,62,3,0
2020,53,5,1
2020,49,12,1
2020,67,10,0
2020,40,10,0
2020,85,3,1
2020,62,10,1
2020,58,10,1
2020,61,15,1
2020,57,18,0
2020,86,19,1
2020,82,24,0
2020,94,39,3
2020,111,22,0
2020,108,50,1
2020,107,41,0
2020,91,11,1
2020,91,34,0
2020,65,57,1
2020,83,62,1
2020,78,32,1
2020,85,46,0
2020,54,56,0
2020,82,73,1
2020,79,60,0
2020,75,90,0
2020,97,89,1
2020,118,96,0
2020,127,57,0
2020,133,93,0
2020,138,88,0
2020,141,60,1
2020,152,81,0
2020,123,53,0
2020,150,65,0
2020,195,102,0
2020,118,42,0
2020,122,79,1
2020,131,75,1
2020,151,132,1
2020,160,202,0
2020,211,201,0
2020,240,209,0
2020,225,126,0
2020,193,167,2
2020,272,113,0
2020,301,105,0
2020,339,149,0
2020,416,112,0
2020,488,143,2
2020,435,132,2
2020,449,162,2
2020,608,181,1
2020,623,196,1
2020,722,228,2
2020,791,133,1
2020,593,204,2
2020,821,172,2
2020,794,245,1
2020,720,274,1
2020,1038,272,1
2020,1078,432,5
2020,885,968,4
2020,1103,1049,5
2020,927,689,2
2020,702,745,2
2020,1167,679,4
2020,903,645,1
2020,506,790,2
2020,1310,864,3
2020,1129,752,8
2020,1169,688,1
2020,962,815,2
2020,1083,1021,3
2020,1195,1234,7
2020,1298,800,3
2020,1251,814,5
2020,1420,1715,4
2020,1211,970,2
2020,1184,784,7
2020,1417,1426,5
2020,1212,880,6
2020,1564,766,3
2020,1569,1304,10
2020,1608,803,7
2020,1530,1099,10
2020,1725,1131,13
2020,1758,1365,6
2020,2333,1217,7
2020,1968,1217,9
2020,1983,1419,12
2020,2172,1292,15
2020,1908,1110,5
2020,1242,1238,11
2020,2375,1456,10
2020,2476,1351,13
2020,2406,2067,10
2020,2543,2097,7
2020,2397,2225,6
2020,2154,1766,7
2020,1530,1693,7
2020,1140,2111,4
2020,1547,2129,7
2020,1553,1950,10
2020,2479,2716,11
2020,2655,2111,11
2020,3082,2196,10
2020,1648,2246,12
2020,3026,1862,13
2020,3402,2058,12
2020,3349,1657,12
2020,2988,1326,14
2020,2885,1944,15
2020,3139,1855,14
2020,2540,2110,15
2020,3215,2532,12
2020,3830,2263,14
2020,4351,2737,9
2020,4167,2744,12
2020,4644,2862,18
2020,4696,2751,16
2020,2910,3026,18
2020,4125,3007,19
2020,5376,2951,20
2020,6324,3168,21
2020,6477,3481,22
2020,7006,3199,21
2020,7445,3391,21
2020,4538,3347,20
2020,7354,3420,22
2020,8830,3536,23
2020,8135,2828,29
2020,9258,4092,20
2020,7834,4476,22
2020,8553,4851,23
2020,5042,4640,23
2020,7871,4981,25
2020,10606,6161,22
2020,5445,7003,24
2020,9250,8048,25
2020,11755,7570,23
2020,9347,8924,25
2020,5930,7836,22
2020,8764,7723,21
2020,6244,7792,20
2020,7789,7082,23
2020,7283,6767,24
2020,9016,7991,26
2020,7631,8410,22
2020,5022,7469,21
2020,6591,7375,24
2020,8369,6839,26
2020,7482,7593,23
2020,8511,6118,26
2020,8253,6468,25
2020,6843,7649,26
2020,4287,7107,20
2020,5457,7015,24
2020,8790,7660,27
2020,7020,8474,26
2020,6638,7828,28
2020,7983,7330,27
2020,7025,8511,28
2020,4138,7108,21
2020,6862,8802,26
2020,8516,8206,28
2020,6820,7699,26
2020,7002,7854,27
2020,7201,7120,28
2020,5440,6853,24
2020,3593,5983,22
2020,6010,6698,28
2020,7007,7252,29
2020,5537,6119,25
2020,5804,6201,26
2020,6357,6793,26
2020,4581,6684,21
2020,2710,6567,19
2020,5792,6620,27
2020,6419,7066,28
2020,5722,6860,26
2020,6028,6398,28
2020,5772,6719,25
2020,5254,6227,27
2020,3757,5425,22
2020,5420,5149,24
2020,6491,5770,26
2020,5378,5970,27
2020,3966,4544,23
2020,6250,5275,25
2020,5643,5861,27
2020,3382,6055,21
2020,5375,6151,26
2020,6316,5924,28
2020,5376,5590,31
2020,5718,5496,29
2020,5848,5820,32
2020,4777,5217,28
2020,3272,4705,23
2020,5032,4735,31
2020,4875,4647,35
2020,4470,4847,26
2020,4642,4748,29
2020,5949,5268,32
2020,4698,5258,29
2020,2707,4481,24
2020,5218,5066,33
2020,6185,5728,27
2020,4969,4970,27
2020,5456,4701,23
2020,6293,4749,29
2020,5711,4471,30
2020,3423,4494,27
2020,6049,5057,27
2020,6169,4808,22
2020,5177,4801,22
2020,5397,4506,16
